연번,아파트명,행정동,번지,도로명주소,층수,동수,총호수,난방방식,대지,연면적,주차장,사업승인,준공일자,사업방법,관리사무소전화번호
1,노량진우성,노량진1동,323,만양로8길 50,2/17~18,7,901,중앙가스,36371,27660,921,1990-06-16,1997-12-16,재개발,02-823-4532
2,노량진삼익,노량진1동,330,만양로 84,19,1,175,개별가스,6224,34983,171,1995-06-21,2001-07-11,재건축,02-815-6850
3,신동아리버파크,노량진1동,325,만양로 19,2/18~28,10,2621,중앙가스,78990,307831,2462,1994-08-04,2001-02-15,재개발,02-812-0322
4,노량진쌍용예가,노량진1동,332,장승배기로16길 134,15,5,299,개별난방,15603,49334,333,2004-06-04,2010-08-26,재개발,02-813-7510
5,형인한강,노량진1동,331,만양로 36,,1,73,개별가스,2359,8241,75,2000-03-25,2001-08-06,재건축,02-814-1925
6,노량진,노량진2동,227-5,장승배기로18길 27,2/11~15,2,49,개별가스,2360,3910,,,1974-11-01,재건축,02-813-2844
7,극동강변,본동,148-2,매봉로 158,13,1,123,개별가스,5359,12268,57,1989-01-27,1992-03-09,재건축,02-813-0449
8,본동신동아,본동,481,매봉로 134,12,9,765,중앙가스,269553,76540,440,1988-09-01,1993-06-26,재개발,02-825-2318
9,한강쌍용,본동,150,노량진로24길 2,17,2,161,개별가스,6141,23192,164,1995-07-01,1999-04-30,재개발,02-822-6740
10,유원강변,본동,482,노량진로23가길 16,2/13~25,5,306,개별가스,7978,41808,335,1992-03-12,2000-08-09,재건축,02-824-9414
11,경동윈츠리버,본동,484,노량진로32길 156,1/10~13,6,272,개별난방,11934,34886,282,1999-07-26,2004-12-30,재개발,02-812-8656
12,한신휴플러스,본동,487외1,매봉로 99,16~18,5,381,개별가스,2320,10438,323,1997-11-03,2004-12-30,재개발,02-813-7209
13,삼성래미안,본동,492,매봉로 123,16~18,6,477,개별난방,20914,3520,601,2000-10-09,2004-12-30,재개발,02-822-1162
14,본동SH빌(임대),본동,490,노량진로22길 60,,1,176,개별가스,3539,13308,120,,2006-11-03,재개발,02-822-7923
15,래미안 트윈파크,본동,494,노량진로23가길 23,3/24~29,5,523,개별난방,21250,80008,631,2007-09-28,2011-11-04,재개발,02-815-0900
16,대우유로카운티,상도1동,420,양녕로 287,21,1,78,개별가스,4452,17412,173,2000-11-10,2003-10-17,재건축,02-817-4211
17,중앙하이츠빌,상도1동,415,상도로 320,11~25,10,544,개별가스,23252,90284,708,1999-04-29,2003-11-30,재건축,02-813-6752
18,강남상가,상도1동,488,상도로 357,,1,69,개별가스,3136,5937,,,1972-03-16,재건축,02-825-1993
19,관악현대(관악구),"상도1동, 봉천3동","407, 1000","상도로 421, 관악로 304",,4,405,중앙가스,27779,37177,1223,,1992-04-20,재개발,02-873-1787
20,상도삼호,상도1동,408,상도로 407,15,5,682,중앙가스,21969,81197,432,1991-03-22,1994-02-25,재개발,02-825-6525
21,관악현대아파트201동,상도1동,410,사당로24길 10-5,,1,38,개별가스,1896,3887,33,1999-07-06,1995-06-21,재건축,02-822-7765
22,상도1동대림,상도1동,411,상도로60길 20,10,3,279,개별가스,9397,40963,288,1993-04-22,1995-12-04,재건축,02-817-7279
23,상도현대,상도1동,412,사당로2길 2-32,,2,194,개별가스,3823,25791,206,1994-08-20,2003-06-16,재건축,02-813-2231
24,래미안상도2차,상도1동,421,상도로55길 47,1/13~15,9,431,개별가스,42009,63011,488,2000-12-29,2003-11-20,재개발,02-813-9922
25,래미안상도3차,상도1동,431,상도로53길 8,1/9~15,28,1656,개별난방,85726,280217,2272,2000-02-14,2005-12-26,재개발,02-812-2936
26,상도엠코타운센트럴파크,상도1동,531,상도로 346-1,2/14~15,22,1559,개별난방,78478,251675,1967,2007-11-08,2012-09-25,지역주택조합,02-826-8901
27,상도엠코타운애스톤파크,상도1동,533,상도로 346-2,,16,882,개별난방,52577,158634,1185,2007-11-08,2013-08-14,지역주택조합,02-827-0388
28,상도SH빌(임대),상도1동,430,상도로53길 70,,4,953,개별난방,20154,66999,689,,2006-11-03,재개발,02-822-6950
29,상도페리스,상도1동,460,상도로47바길 40,11~18,2,80,개별가스,3444,10810,91,2001-09-07,2005-09-29,재건축,02-821-8322
30,삼환나우빌,상도1동,520,상도로55길 25,12~20,2,91,개별가스,5996,16707,137,2004-03-10,2007-03-29,재건축,02-812-1273
31,"상도건영(분양 824, 임대 552) ",상도2동,414,만양로 26,18,8,1376,중앙가스(열병합),36719,118189,930,1990-06-29,1997-09-12,재개발,02-813-6445
32,"상도래미안1차(분양 517, 임대 164) ",상도2동,450,등용로 37,2/15-19,8,681,개별가스,19725,81236,649,1997-10-17,2004-12-07,재개발,02-823-6884
33,I'PARK상도동,상도2동,416,장승배기로 26,1/17~22,6,400,LNG개별,15252,61614,506,2000-01-25,2004-04-27,재건축,02-823-8896
34,상도더샵,상도2동,521,장승배기로4길 9,3/9~15,22,1122,개별난방,61044,197874,1651,2004-11-30,2007-09-28,재건축,02-824-8292
35,상도더샵2차,상도2동,164-7,장승배기로10길 100,2/15~18,4,138,개별난방,7829,24257,173,2011-08-26,2014-04-07,지역주택조합,02-3280-6663
36,브라운스톤상도,상도2동,527,상도로31길 19,,8,415,개별가스,18225,58340,459,2005-03-21,2007-12-26,재건축,02-821-2755
37,상도동동원베네스트,상도2동,528,상도로34길 42,2/8~18,4,162,개별가스,8387,23332,185,2006-07-10,2008-10-31,재건축,02-824-3394
38,상도 두산위브,상도2동,529,상도로30길 39,3/11~12,4,190,개별난방,10242,22565,255,2007-10-30,2010-03-01,민영,02-813-0041
39,"상도2차두산위브트레지움(분양422, 임대160)",상도2동,535,상도로30길 40,21~23,6,582,개별난방,19376,99488,745,2012-01-03,2016-01-27,지역주택조합,02-827-0510
40,"상도 효성해링턴플레이스(분양147, 임대55)",상도2동,536,상도로 207,20~28,2,202,개별난방,5316,33592,231,2013-05-02,2016-08-26,지역주택조합,02-825-5300
41,"상도파크자이(분양387, 임대84)",상도2동,363-3,장승배기로11가길 11,2/16~25,7,471,개별난방,17783,68940,563,2009-04-20,2016-02-04,재개발,02-827-0795
42,"상도쌍용스윗닷홈(분양389, 임대65)",상도3동,418외,상도로 107,8~15,7,454,개별가스,19305,3403,452,2000-08-21,2003-11-20,재개발,02-812-2472
